date,regime_idx,day_type,dp_revenue,pomdp_revenue,capture_rate,info_value,belief_converge_period,final_belief_correct
2024-01-01,0,weekday,4.75779347826087,-4.943713768115941,-103.90769987609951,9.701507246376812,9.0,0.6894416857227004
2024-01-02,0,weekday,8.280195652173914,-0.17580072463768204,-2.1231469885802357,8.455996376811596,12.0,0.9999987457666265
2024-01-03,1,weekday,19.069166666666668,-1.2064963768115948,-6.3269486176371705,20.27566304347826,9.0,0.861185284053598
2024-01-04,0,weekday,4.023057971014493,-5.6518768115941995,-140.48708351495534,9.674934782608693,21.0,0.9951864824187593
2024-01-05,0,weekday,8.446166666666668,-3.1663659420289827,-37.488793046498195,11.612532608695652,,0.10081910822505534
2024-01-06,0,weekend,12.83255072463768,8.01921739130435,62.491219114435005,4.813333333333331,1.0,0.9997466728143368
2024-01-07,0,weekend,14.007249999999999,3.018014492753623,21.546088580939323,10.989235507246375,24.0,0.036515272834999474
2024-01-08,0,weekday,8.889728260869564,3.9704673913043536,44.66354060316322,4.9192608695652105,13.0,0.006836251469030519
2024-01-09,1,weekday,17.517467391304347,12.688152173913045,72.43143024322927,4.8293152173913025,35.0,0.9999999297658111
2024-01-10,1,weekday,31.84567028985507,13.847699275362322,43.483773930089704,17.997971014492748,2.0,0.9999999999999915
2024-01-11,0,weekday,9.508391304347825,5.422500000000001,57.02857430278978,4.0858913043478235,,0.334872393013607
2024-01-12,1,weekday,15.933583333333338,5.032525362318847,31.584391640207603,10.901057971014492,21.0,0.9999982716706832
2024-01-13,1,weekend,16.926336956521737,-0.9507862318840568,-5.617200191195046,17.877123188405793,2.0,0.9999999997958262
2024-01-14,0,weekend,15.085068840579712,1.4434673913043476,9.56884855189614,13.641601449275365,10.0,0.014126224258331549
2024-01-15,0,weekday,10.150673913043477,0.927434782608695,9.136681865200636,9.22323913043478,1.0,0.982203735006261
2024-01-16,1,weekday,25.196275362318836,-1.151532608695649,-4.5702493409711344,26.347807971014486,12.0,6.018293906661069e-05
2024-01-17,1,weekday,14.902554347826085,5.995855072463772,40.23374068981952,8.906699275362314,9.0,0.9999999998871176
2024-01-18,1,weekday,130.7327536231884,89.91965942028986,68.78127854589961,40.813094202898526,2.0,0.999997544958182
2024-01-19,1,weekday,58.55700362318841,43.070047101449276,73.55234120004333,15.486956521739131,31.0,0.9406630495776569
2024-01-20,0,weekend,7.54888768115942,0.05988405797101759,0.7932832027753803,7.4890036231884025,11.0,0.907516440439678
2024-01-21,2,weekend,757.3872101449275,280.6242934782609,37.05162824502448,476.7629166666666,,6.626980678954974e-10
2024-01-22,1,weekday,31.078887681159422,9.581134057971019,30.828432974386256,21.4977536231884,,0.00016845399697395586
2024-01-23,1,weekday,16.897148550724637,12.847681159420292,76.03461093362594,4.049467391304345,25.0,0.010654494066423312
2024-01-24,1,weekday,24.168601449275364,14.356452898550724,59.40125633120227,9.81214855072464,37.0,0.9995285880243236
2024-01-25,1,weekday,11.36778260869565,4.209525362318841,37.03031195458307,7.1582572463768095,3.0,0.9977913556519005
2024-01-26,2,weekday,141.73194927536233,108.80522101449276,76.76830917149228,32.92672826086957,11.0,0.9999995163716465
2024-01-27,1,weekend,37.72534057971014,28.801496376811592,76.34522560759048,8.92384420289855,,0.0503643580082059
2024-01-28,1,weekend,22.484692028985506,7.646485507246374,34.00751719164809,14.838206521739131,,0.2644113527054214
2024-01-29,2,weekday,272.9995905797101,257.1985652173913,94.21206994165611,15.801025362318796,45.0,0.9817056245317102
2024-01-30,1,weekday,16.471021739130435,6.76775,41.08882926140376,9.703271739130436,9.0,0.9999999750129981
2024-01-31,1,weekday,20.013641304347825,6.627840579710147,33.11661520720017,13.385800724637678,5.0,0.2560967258052542
2024-02-01,1,weekday,37.92169565217392,32.435898550724644,85.53388236705919,5.485797101449279,29.0,0.9999999999936228
2024-02-02,2,weekday,80.58700362318841,62.60496739130436,77.6861833504009,17.982036231884045,,3.769289224119112e-11
2024-02-03,1,weekend,28.628999999999998,20.245576086956522,70.71702150601321,8.383423913043476,0.0,0.9999999794478377
2024-02-04,1,weekend,50.35844927536232,27.49265579710145,54.59392851191732,22.86579347826087,1.0,0.999999999724508
2024-02-05,2,weekday,188.28257971014494,155.04387318840583,82.34637183487233,33.23870652173912,,7.248797541140346e-09
2024-02-06,1,weekday,22.816840579710146,0.30652173913043423,1.343401327013734,22.51031884057971,2.0,0.999999993960664
2024-02-07,0,weekday,9.187137681159422,-2.61681884057971,-28.483505215625176,11.803956521739131,14.0,0.9999480871933771
2024-02-08,1,weekday,27.853572463768117,12.96142753623189,46.53416560152955,14.892144927536227,17.0,0.999999999957708
2024-02-09,0,weekday,8.754659420289855,-4.8100833333333295,-54.94312345475656,13.564742753623184,41.0,0.9969353140491629
2024-02-10,0,weekend,19.00072463768116,2.852057971014495,15.01025895274781,16.148666666666664,,0.0014575388505707098
2024-02-11,0,weekend,29.367615942028987,16.452195652173916,56.02155682180733,12.91542028985507,5.0,0.01809421448125529
2024-02-12,1,weekday,46.071532608695655,37.680438405797105,81.7868134013089,8.39109420289855,3.0,1.0
2024-02-13,1,weekday,40.60834420289856,21.968010869565223,54.0972829618529,18.640333333333334,3.0,0.9999999999948591
2024-02-14,1,weekday,23.02322463768116,8.168898550724638,35.481122558978726,14.854326086956522,10.0,0.9992437486952006
2024-02-15,1,weekday,14.395463768115944,2.2947753623188447,15.940961675729195,12.100688405797099,20.0,0.9999920077625667
2024-02-16,0,weekday,8.165561594202899,4.772112318840581,58.4419364643397,3.3934492753623173,,0.7448058818322805
2024-02-17,1,weekend,22.743663043478264,9.59870289855073,42.203856433333655,13.144960144927534,2.0,0.9993315671693572
2024-02-18,1,weekend,23.585655797101452,9.708050724637685,41.16082591958605,13.877605072463767,9.0,0.9999981348620497
2024-02-19,1,weekday,12.338778985507243,-5.113518115942027,-41.44265913141171,17.45229710144927,10.0,0.26749146509291216
2024-02-20,1,weekday,33.05038405797102,17.232471014492756,52.14000231969064,15.817913043478267,20.0,0.9614657798479749
2024-02-21,1,weekday,27.486289855072464,18.24519927536232,66.37927261760014,9.241090579710143,19.0,0.9999999953422755
2024-02-22,1,weekday,67.31455434782609,22.260242753623192,33.06898926880006,45.0543115942029,37.0,0.9998527196043713
2024-02-23,2,weekday,281.6449239130435,154.94447463768117,55.01411936879769,126.70044927536233,,4.548035467630373e-05
2024-02-24,0,weekend,9.49000724637681,2.8329057971014517,29.85146084248805,6.657101449275359,5.0,0.0014708437832173767
2024-02-25,1,weekend,21.93541666666667,7.719286231884058,35.19097151965379,14.21613043478261,7.0,0.9999898998467849
2024-02-26,2,weekday,112.23102173913041,92.17004347826084,82.12528234172252,20.060978260869575,,0.00033928499714574296
2024-02-27,1,weekday,22.12964855072463,16.104,72.77115116892662,6.0256485507246325,22.0,0.9999999997483193
2024-02-28,1,weekday,33.93140942028985,11.480014492753625,33.833002191441416,22.451394927536228,8.0,0.9999947754585342
2024-02-29,2,weekday,1575.703115942029,169.31410144927537,10.745304730076102,1406.3890144927536,,3.178218370725127e-09
2024-03-01,1,weekday,25.69642028985507,15.936978260869566,62.02022725773004,9.759442028985504,2.0,1.0
2024-03-02,1,weekend,15.933083333333336,10.470228260869572,65.71376074438136,5.462855072463764,18.0,0.9999996376156587
2024-03-03,0,weekend,12.036054347826084,4.508170289855071,37.455549464757304,7.527884057971013,,2.7314168005933662e-06
2024-03-04,0,weekday,10.082061594202898,-2.864865942028983,-28.41547748206832,12.94692753623188,,0.6727376838907357
2024-03-05,1,weekday,24.039409420289857,10.07994202898551,41.930905425978516,13.959467391304347,38.0,0.999995981541197
2024-03-06,1,weekday,20.407155797101453,7.2476884057971045,35.51542644088862,13.159467391304348,2.0,0.9999999999941631
2024-03-07,1,weekday,11.397340579710146,7.874394927536233,69.08975714522776,3.522945652173913,,0.6722556462078088
2024-03-08,1,weekday,40.371384057971014,30.655634057971017,75.93406759092348,9.715749999999996,10.0,1.0
2024-03-09,1,weekend,43.59051449275363,31.69767753623189,72.716915377315,11.892836956521737,29.0,0.9999999969448576
2024-03-10,1,weekend,47.85228985507247,38.46552536231884,80.38387604609353,9.386764492753628,13.0,0.999999994264935
2024-03-11,1,weekday,40.62842753623189,25.813768115942025,63.53622249574305,14.814659420289864,4.0,0.9999999999999998
2024-03-12,1,weekday,34.91394202898551,14.940532608695653,42.79245407548664,19.973409420289855,0.0,0.9999999999999998
2024-03-13,1,weekday,22.598391304347828,14.220673913043477,62.92781517730195,8.377717391304351,4.0,0.9999999999995792
