date,regime_idx,day_type,dp_revenue,pomdp_revenue,capture_rate,info_value,belief_converge_period,final_belief_correct
2024-01-01,0,weekday,4.75779347826087,-4.002286231884057,-84.12063806828,8.760079710144927,9.0,0.9613239451738822
2024-01-02,0,weekday,8.280195652173914,1.4543840579710174,17.5646098119575,6.8258115942028965,33.0,0.9999785978817077
2024-01-03,1,weekday,19.069166666666668,-5.403833333333333,-28.338067561071533,24.473,3.0,2.1964287934069023e-06
2024-01-04,0,weekday,4.023057971014493,-6.26147101449275,-155.6395920617022,10.284528985507244,11.0,0.9999999931952475
2024-01-05,0,weekday,8.446166666666668,-3.1484528985507216,-37.27670815420077,11.59461956521739,40.0,0.9999785077082463
2024-01-06,0,weekend,12.83255072463768,4.567492753623189,35.5930231770204,8.265057971014492,1.0,0.9999528055999055
2024-01-07,0,weekend,14.007249999999999,2.85115579710145,20.354857642302736,11.156094202898549,,0.15250384560690008
2024-01-08,0,weekday,8.889728260869564,4.099434782608698,46.11428676232343,4.790293478260866,13.0,0.961625408446473
2024-01-09,1,weekday,17.517467391304347,13.039648550724639,74.4379781588605,4.477818840579708,4.0,0.999999999846388
2024-01-10,1,weekday,31.84567028985507,14.441083333333339,45.347085496686084,17.404586956521733,2.0,0.9999999999994862
2024-01-11,0,weekday,9.508391304347825,4.742992753623188,49.88217882297711,4.765398550724637,15.0,0.993441321290531
2024-01-12,1,weekday,15.933583333333338,3.2339927536231907,20.296707187375866,12.699590579710147,39.0,0.988805044797787
2024-01-13,1,weekend,16.926336956521737,-2.562032608695648,-15.136367752081728,19.488369565217386,2.0,0.9999988873735226
2024-01-14,0,weekend,15.085068840579712,-0.6594130434782599,-4.371296216457432,15.744481884057972,12.0,0.004904512391313706
2024-01-15,0,weekday,10.150673913043477,4.016931159420289,39.573048980113406,6.133742753623188,1.0,0.999425036171855
2024-01-16,1,weekday,25.196275362318836,3.425731884057978,13.596183700949618,21.77054347826086,11.0,5.6075236413720314e-05
2024-01-17,1,weekday,14.902554347826085,7.216431159420292,48.42412240873989,7.686123188405793,11.0,0.9999999999958028
2024-01-18,1,weekday,130.7327536231884,88.27216666666668,67.52107962255117,42.46058695652171,2.0,0.46996304498402375
2024-01-19,1,weekday,58.55700362318841,31.597684782608695,53.96055608640484,26.959318840579712,35.0,0.8949026936822965
2024-01-20,0,weekend,7.54888768115942,-1.4528333333333325,-19.245661012539987,9.001721014492752,11.0,0.9993201677936508
2024-01-21,2,weekend,757.3872101449275,291.25817753623187,38.45565037736762,466.12903260869564,,1.7242972907234066e-11
2024-01-22,1,weekday,31.078887681159422,12.848967391304349,41.34307354601247,18.229920289855073,,9.834450028859606e-07
2024-01-23,1,weekday,16.897148550724637,7.434340579710147,43.99760443244327,9.46280797101449,,0.04341161340079585
2024-01-24,1,weekday,24.168601449275364,14.034242753623184,58.068079706961974,10.13435869565218,36.0,0.9999986233800278
