date,revenue,spread,max_price
2024-01-01,3.4120722916666666,65.40166666666667,63.17666666666667
2024-01-02,2.6302833333333338,79.32000000000001,99.99833333333333
2024-01-03,7.296576566828256,147.45666666666665,138.005
2024-01-04,2.7888933333333332,51.18333333333334,77.295
2024-01-05,3.3912742820867967,92.215,82.78
2024-01-06,2.8680362419205925,107.81333333333333,89.045
2024-01-07,3.8615066666666684,135.33333333333334,110.175
2024-01-08,5.059313333333333,77.70166666666667,113.06166666666667
2024-01-09,10.556839381348102,155.50833333333335,203.82833333333335
2024-01-10,16.14956185595568,209.6533333333333,238.26
2024-01-11,4.642270000000001,84.00666666666665,126.59666666666665
2024-01-12,5.112773638042476,129.00666666666666,146.25166666666667
2024-01-13,6.173904226108035,139.64833333333334,137.69
2024-01-14,4.358205625000001,122.91333333333334,89.03833333333334
2024-01-15,4.285300833333333,96.71666666666665,128.48166666666665
2024-01-16,15.602821155355498,214.635,253.12666666666667
2024-01-17,3.3881894575253932,123.5,170.795
2024-01-18,125.34860645833334,1457.8916666666667,942.8116666666666
2024-01-19,51.89483716008772,753.5116666666667,648.4016666666666
2024-01-20,3.618880000000001,71.40833333333333,91.67
2024-01-21,751.7145971445061,8007.305,8008.1050000000005
2024-01-22,28.017406250000008,284.95,125.46333333333332
2024-01-23,9.391025881809789,165.38,201.46833333333333
2024-01-24,15.920830625,210.90166666666667,253.12666666666667
2024-01-25,7.373432373037859,93.22333333333333,151.98333333333332
2024-01-26,137.19721536126502,2247.0983333333334,2165.2833333333333
2024-01-27,33.007242188365645,568.3166666666667,419.925
2024-01-28,15.416821419667588,244.33333333333331,253.6533333333333
2024-01-29,259.12303543686517,2374.93,2361.8816666666667
2024-01-30,7.652458956602032,117.68666666666667,164.64833333333334
2024-01-31,12.346371255771007,198.27499999999998,234.01333333333332
2024-02-01,33.25608404432133,294.2766666666667,332.72333333333336
2024-02-02,73.7434816129963,786.1483333333333,811.6033333333334
2024-02-03,21.293971140350877,233.31499999999997,269.715
2024-02-04,40.84898322656971,323.2233333333333,335.3533333333333
2024-02-05,172.55193031336566,2124.3366666666666,2174.5733333333333
2024-02-06,16.467600932594646,222.50166666666667,147.84333333333333
